loss: 53.2487564087, bleu: 0.00561875, gleu: 0.126838364338, ribes: 0.0, chrf: 0.352145429894
loss: 54.056022644, bleu: 0.037128125, gleu: 0.149867277992, ribes: 0.0, chrf: 0.378732041105
loss: 52.5131645203, bleu: 0.0, gleu: 0.139319222081, ribes: 0.0, chrf: 0.383539666015
loss: 54.3880882263, bleu: 0.03621875, gleu: 0.161064189189, ribes: 0.0, chrf: 0.389926976133
loss: 53.4146499634, bleu: 0.00661875, gleu: 0.140765765766, ribes: 0.0, chrf: 0.368950630848
loss: 53.2608909607, bleu: 0.039653125, gleu: 0.161862714988, ribes: 0.0, chrf: 0.399623184649
loss: 53.2771072388, bleu: 0.0, gleu: 0.14222972973, ribes: 0.0, chrf: 0.383450163729
loss: 52.9835777283, bleu: 0.04549375, gleu: 0.174010617761, ribes: 0.0, chrf: 0.422650203742
loss: 51.4349937439, bleu: 0.00684375, gleu: 0.14617519305, ribes: 0.0, chrf: 0.401980518766
loss: 50.9128417969, bleu: 0.0423625, gleu: 0.172876447876, ribes: 0.0, chrf: 0.420445123276
loss: 51.7466087341, bleu: 0.005496875, gleu: 0.158723089973, ribes: 0.0, chrf: 0.412597776172
loss: 51.7945556641, bleu: 0.0516625, gleu: 0.17802481865, ribes: 0.0, chrf: 0.428022745716
loss: 52.5025787354, bleu: 0.005496875, gleu: 0.158170630046, ribes: 0.0, chrf: 0.41087891059
loss: 51.0297431946, bleu: 0.0516625, gleu: 0.179048935299, ribes: 0.0, chrf: 0.426687999834
loss: 50.5038261414, bleu: 0.010296875, gleu: 0.157890926641, ribes: 0.0, chrf: 0.416072891067
loss: 51.4719238281, bleu: 0.053471875, gleu: 0.185170966421, ribes: 0.0, chrf: 0.428168941229
loss: 51.0190086365, bleu: 0.01375625, gleu: 0.174516643267, ribes: 0.0, chrf: 0.443689066624
loss: 50.701751709, bleu: 0.04556875, gleu: 0.183578667954, ribes: 0.0, chrf: 0.438272982321
loss: 50.2855072021, bleu: 0.017671875, gleu: 0.177634696385, ribes: 0.0, chrf: 0.440229515919
loss: 49.7940940857, bleu: 0.06389375, gleu: 0.19223521411, ribes: 0.0, chrf: 0.451623134076
loss: 50.3527145386, bleu: 0.0159375, gleu: 0.177461024336, ribes: 0.0, chrf: 0.444029416562
loss: 48.2858161926, bleu: 0.0699625, gleu: 0.196802606178, ribes: 0.0, chrf: 0.467681288624
loss: 49.3242645264, bleu: 0.0122375, gleu: 0.179536679537, ribes: 0.0, chrf: 0.457508632133
loss: 50.699672699, bleu: 0.05666875, gleu: 0.193484555985, ribes: 0.0, chrf: 0.455955269564
loss: 49.5054702759, bleu: 0.0122375, gleu: 0.181358590734, ribes: 0.0, chrf: 0.456575626542
loss: 51.5496482849, bleu: 0.056309375, gleu: 0.195101351351, ribes: 0.0, chrf: 0.450391052101
loss: 50.1612472534, bleu: 0.025403125, gleu: 0.188284266409, ribes: 0.0, chrf: 0.461529419782
loss: 49.3926277161, bleu: 0.0566875, gleu: 0.204393720019, ribes: 0.0, chrf: 0.471917132709
loss: 48.3835868835, bleu: 0.01835625, gleu: 0.188769451269, ribes: 0.0, chrf: 0.468765279762
loss: 48.5864067078, bleu: 0.06869375, gleu: 0.205694980695, ribes: 0.0, chrf: 0.469511936121
loss: 47.7976493835, bleu: 0.025890625, gleu: 0.197043918919, ribes: 0.0, chrf: 0.485173507163
loss: 49.1508483887, bleu: 0.071334375, gleu: 0.217398648649, ribes: 0.0, chrf: 0.486153040101
loss: 47.8793106079, bleu: 0.0187, gleu: 0.201242760618, ribes: 0.0, chrf: 0.484793966857
loss: 48.1034584045, bleu: 0.057871875, gleu: 0.211066382941, ribes: 0.0, chrf: 0.478696753691
loss: 46.8239517212, bleu: 0.02476875, gleu: 0.203969594595, ribes: 0.0, chrf: 0.494173457477
loss: 48.3798828125, bleu: 0.06203125, gleu: 0.217072876448, ribes: 0.0, chrf: 0.488059368087
loss: 46.0293159485, bleu: 0.02476875, gleu: 0.203712194337, ribes: 0.0, chrf: 0.49458779787
loss: 49.0696601868, bleu: 0.0619375, gleu: 0.217265926641, ribes: 0.0, chrf: 0.485868890554
loss: 47.7840423584, bleu: 0.03624375, gleu: 0.207685810811, ribes: 0.0, chrf: 0.485943579223
loss: 47.5248908997, bleu: 0.06356875, gleu: 0.225611691237, ribes: 0.0, chrf: 0.49495264227
loss: 47.1073226929, bleu: 0.033546875, gleu: 0.20847007722, ribes: 0.0, chrf: 0.491490139529
loss: 48.4071731567, bleu: 0.073621875, gleu: 0.226773648649, ribes: 0.0, chrf: 0.494478676787
loss: 46.2719764709, bleu: 0.052721875, gleu: 0.220933880309, ribes: 0.0, chrf: 0.501211719252
loss: 47.7191429138, bleu: 0.07619375, gleu: 0.225868725869, ribes: 0.0, chrf: 0.491664149806
loss: 45.6034507751, bleu: 0.043496875, gleu: 0.213935810811, ribes: 0.0, chrf: 0.506633196978
loss: 46.42345047, bleu: 0.084209375, gleu: 0.235316119691, ribes: 0.0, chrf: 0.500439933191
loss: 45.1616897583, bleu: 0.03114375, gleu: 0.217627895753, ribes: 0.0, chrf: 0.50690779606
loss: 47.2762832642, bleu: 0.083303125, gleu: 0.237572393822, ribes: 0.0, chrf: 0.503007261007
loss: 44.021938324, bleu: 0.03125625, gleu: 0.216019144144, ribes: 0.0, chrf: 0.51524041924
loss: 47.2052230835, bleu: 0.083303125, gleu: 0.237587018837, ribes: 0.0, chrf: 0.502441951471
loss: 44.7921562195, bleu: 0.035909375, gleu: 0.20715492278, ribes: 0.0, chrf: 0.495003529545
loss: 44.1162033081, bleu: 0.075553125, gleu: 0.236726336726, ribes: 0.0, chrf: 0.518220383787
loss: 45.0164756775, bleu: 0.0446, gleu: 0.219823841699, ribes: 0.0, chrf: 0.50732910986
loss: 45.1276779175, bleu: 0.087534375, gleu: 0.240106177606, ribes: 0.0, chrf: 0.513698032625
loss: 44.0306739807, bleu: 0.084053125, gleu: 0.233626930502, ribes: 0.0, chrf: 0.512935651337
loss: 44.1193008423, bleu: 0.089975, gleu: 0.244835907336, ribes: 0.0, chrf: 0.521715469785
loss: 44.4935951233, bleu: 0.0552625, gleu: 0.228281853282, ribes: 0.0, chrf: 0.515039383268
loss: 43.9686393738, bleu: 0.08883125, gleu: 0.241047297297, ribes: 0.0, chrf: 0.518940992262
loss: 44.0926322937, bleu: 0.047103125, gleu: 0.227956081081, ribes: 0.0, chrf: 0.51707763427
